Frame,Time,FaceDetected,LeftIrisX,LeftIrisY,RightIrisX,RightIrisY,EAR,Blink,TotalBlinks,Yaw,Pitch,Roll,HorizontalGaze,VerticalGaze,OnScreen,HorizontalRatio,VerticalRatio,AttentionState
38,1.536,True,913.0,245.0,957.0,260.0,0.8143,False,1,-60.66485962958176,-41.03529696537964,-167.900833044776,Left,Up,False,0.556,0.554,Looking Left
39,1.576,True,924.0,243.0,966.0,255.0,1.0878,False,1,53.36453386775951,-1.0940098411257462,171.89914451071175,Right,Down,False,0.632,0.681,Looking Right
40,1.617,True,937.0,242.0,980.0,253.0,0.9559,False,1,52.67692367247584,-3.857905759190115,-12.281981040412575,Right,Down,False,0.626,0.674,Looking Right
41,1.657,True,954.0,237.0,990.0,246.0,0.9613,False,1,54.61825820416003,-11.221483121828086,-15.841781001270585,Right,Down,False,0.65,0.683,Looking Right
42,1.698,True,970.0,233.0,1004.0,242.0,0.8826,False,1,79.51196877756466,47.36914082235858,35.59741363346001,Right,Down,False,0.731,0.83,Looking Right
43,1.738,True,981.0,232.0,1023.0,241.0,1.0944,False,1,20.01122498563105,-16.36868692921158,-11.368858125795478,Right,Up,False,0.683,0.711,Looking Right
44,1.779,True,990.0,228.0,1032.0,228.0,1.0516,False,1,78.87844596201435,56.035091167024746,44.09079747917179,Right,Down,False,0.694,0.693,Looking Right
45,1.819,True,1001.0,226.0,1035.0,236.0,0.9646,False,1,-61.10727922229504,-41.67111351409848,-169.29485519698068,Left,Up,False,0.771,1.006,Looking Left
46,1.859,True,1001.0,224.0,1043.0,221.0,1.2149,False,1,-6.226329411171414,-10.499486901428329,-9.695357589967852,Right,Down,False,0.723,0.707,Looking Right
47,1.9,True,1002.0,223.0,1046.0,224.0,1.144,False,1,78.91244216462857,49.03809787616982,37.27755970564063,Right,Down,False,0.647,0.599,Looking Right
48,1.94,True,1001.0,221.0,1049.0,220.0,0.9911,False,1,-61.556453134132575,-42.243461859064745,-164.07057650712963,Left,Up,False,0.612,0.511,Looking Left
49,1.981,True,999.0,220.0,1043.0,226.0,1.0062,False,1,48.83382910721863,2.4185001196997917,173.88231274723168,Right,Down,False,0.681,0.635,Looking Right
50,2.021,True,993.0,218.0,1041.0,230.0,1.021,False,1,49.13269469127871,3.831505071923782,176.39286756342887,Right,Center,False,0.646,0.574,Looking Right
51,2.062,True,982.0,218.0,1033.0,228.0,0.8619,False,1,49.27824508703455,3.9486118476309917,175.29807824558551,Right,Center,False,0.688,0.569,Looking Right
52,2.102,True,969.0,217.0,1024.0,229.0,0.793,False,1,46.57895204029809,4.611966871983445,176.73771794163986,Right,Center,False,0.647,0.473,Looking Right
53,2.142,True,955.0,217.0,1008.0,234.0,0.8678,False,1,48.26051619225713,5.813893870482777,178.35089643280148,Right,Center,False,0.699,0.615,Looking Right
54,2.183,True,937.0,216.0,991.0,227.0,0.6726,False,1,48.568378013009216,6.063933008280208,177.99597342891462,Right,Center,False,0.617,0.46,Looking Right
55,2.223,True,915.0,215.0,972.0,231.0,0.5655,False,1,47.352690937769516,8.870568947550668,-178.7686506422607,Right,Center,False,0.618,0.51,Looking Right
56,2.264,True,888.0,214.0,945.0,224.0,0.4281,False,1,30.315484756035033,-7.500655693551721,170.29111131948886,Right,Center,False,0.594,0.515,Looking Right
57,2.304,True,858.0,213.0,921.0,225.0,0.4788,False,1,45.267515059544294,12.817826146246338,-178.3176976506526,Right,Down,False,0.639,0.635,Looking Right
