Frame,Time,FaceDetected,LeftIrisX,LeftIrisY,RightIrisX,RightIrisY,EAR,Blink,TotalBlinks,Yaw,Pitch,Roll,HorizontalGaze,VerticalGaze,OnScreen,HorizontalRatio,VerticalRatio,AttentionState
43,2.578,True,610,280,726,261,0.2773,False,1,-14.031538609161785,38.14260437501071,172.7353448728968,Center,Down,False,0.385,0.651,Looking Down
44,2.638,True,606,283,720,263,0.2871,False,1,-14.72404288079458,38.42086881172533,172.3052112312284,Left,Down,False,0.372,0.714,Looking Left
45,2.698,True,603,282,717,261,0.2786,False,1,-15.452706958422953,37.77359683068273,172.03212232201346,Left,Down,False,0.348,0.708,Looking Left
46,2.758,True,603,283,717,263,0.3078,False,1,-15.31697211739314,38.233845075729256,171.36374796315,Left,Down,False,0.399,0.531,Looking Left
47,2.818,True,607,283,724,264,0.3056,False,1,-15.404214926657993,37.19340616323199,172.02599740611257,Left,Down,False,0.405,0.562,Looking Left
48,2.878,True,609,282,725,262,0.311,False,1,-16.699248927732363,36.25103854871776,171.82796283395388,Left,Down,False,0.399,0.55,Looking Left
49,2.938,True,609,283,725,263,0.3054,False,1,-16.395578875423524,36.61481377354512,171.7294228652143,Left,Down,False,0.415,0.521,Looking Left
50,2.998,True,610,282,726,262,0.3053,False,1,-17.0126969139491,35.698314669378505,171.92969288718174,Left,Down,False,0.416,0.543,Looking Left
51,3.058,True,610,283,726,262,0.3175,False,1,-15.467500536378084,36.17701589189704,171.81917957025271,Left,Down,False,0.425,0.521,Looking Left
52,3.118,True,610,289,725,266,0.2941,False,1,-14.614522910800995,38.68766079860089,171.6844168489746,Left,Down,False,0.367,0.661,Looking Left
53,3.178,True,612,291,726,268,0.302,False,1,-15.08104293217108,37.7098672259161,171.8259060287634,Left,Down,False,0.385,0.666,Looking Left
54,3.238,True,613,291,727,269,0.2999,False,1,-16.328222732107054,38.159921592361854,171.36045266591776,Left,Down,False,0.395,0.6,Looking Left
55,3.298,True,613,290,727,265,0.3097,False,1,-17.607499726314437,38.523873469674264,171.41169898862407,Left,Down,False,0.353,0.669,Looking Left
56,3.358,True,612,286,726,263,0.2962,False,1,-16.88347513947392,38.54098177269752,171.33687564621187,Left,Down,False,0.348,0.656,Looking Left
57,3.417,True,612,284,728,260,0.2982,False,1,-17.47622491023394,38.537112157165794,170.8268888823576,Left,Down,False,0.36,0.657,Looking Left
58,3.477,True,616,284,732,260,0.2946,False,1,-16.129146065091433,39.857626604159165,170.2677931255972,Left,Down,False,0.391,0.624,Looking Left
59,3.537,True,617,284,736,257,0.3037,False,1,-17.102586011434063,39.32898273857943,169.68453246784972,Left,Down,False,0.383,0.608,Looking Left
60,3.597,True,614,283,735,255,0.3044,False,1,-18.06600502823379,37.912062366802694,169.2389991332349,Left,Down,False,0.361,0.608,Looking Left
61,3.657,True,607,282,732,254,0.2956,False,1,-18.77085674608641,36.86354106823581,169.49446871387454,Left,Down,False,0.312,0.748,Looking Left
62,3.717,True,599,283,727,253,0.3015,False,1,-17.51178583175373,38.56999235580078,-12.425793476856736,Left,Down,False,0.295,0.685,Looking Left
63,3.777,True,595,287,723,256,0.3471,False,1,-19.728537542078335,32.40944870905157,169.59908285343735,Left,Down,False,0.336,0.621,Looking Left
64,3.837,True,589,287,722,259,0.3547,False,1,-20.16857979661834,29.101272061730707,170.74012083555832,Left,Down,False,0.332,0.588,Looking Left
65,3.897,True,586,288,719,260,0.3519,False,1,-20.723260363624536,28.25553942449148,171.48560142412995,Left,Down,False,0.33,0.578,Looking Left
66,3.957,True,581,289,715,260,0.3706,False,1,-21.00388505932146,28.10402649226377,171.36101688338516,Left,Down,False,0.343,0.561,Looking Left
67,4.017,True,577,288,709,260,0.3655,False,1,-20.861009979213325,26.135492805563153,172.19520298453065,Left,Down,False,0.36,0.532,Looking Left
68,4.077,True,573,290,708,262,0.3683,False,1,-20.904819646318263,25.875076452205896,172.00854290097658,Left,Down,False,0.367,0.556,Looking Left
69,4.137,True,571,291,706,264,0.3517,False,1,-22.052979785981314,33.340911425371395,-10.760796734133514,Left,Down,False,0.366,0.552,Looking Left
70,4.197,True,571,292,705,266,0.3646,False,1,-20.857726714942487,25.26453734733274,172.69514211768347,Left,Down,False,0.364,0.557,Looking Left
71,4.257,True,570,295,703,269,0.3606,False,1,-22.70833145835507,33.34432709394986,-10.806101963261561,Left,Down,False,0.363,0.557,Looking Left
72,4.317,True,568,296,699,270,0.3511,False,1,-22.60975849508879,32.67848804899037,-10.52591945633698,Left,Down,False,0.36,0.518,Looking Left
73,4.377,True,568,298,697,273,0.3545,False,1,-20.613393329774226,25.01016917035129,172.3627637188956,Left,Down,False,0.359,0.545,Looking Left
74,4.437,True,569,300,696,275,0.3521,False,1,-22.586446803156782,32.44699808892296,-10.556887949026136,Left,Down,False,0.363,0.535,Looking Left
75,4.497,True,570,302,696,278,0.3597,False,1,-23.02232621398498,31.717707255958327,-10.339544572984336,Left,Down,False,0.347,0.542,Looking Left
76,4.557,True,570,304,695,281,0.3433,False,1,-20.365461251169062,23.52991483093392,173.2797567952353,Left,Down,False,0.364,0.51,Looking Left
77,4.617,True,571,306,695,283,0.3618,False,1,-22.821444015770837,31.361886624907562,-9.845448636716736,Left,Down,False,0.354,0.53,Looking Left
78,4.677,True,570,306,693,284,0.3521,False,1,-23.00902845328046,30.730704228668404,-9.644314234598037,Left,Down,False,0.351,0.469,Looking Left
79,4.736,True,571,308,692,286,0.3547,False,1,-22.882467036084147,30.41492415034241,-9.185352295241511,Left,Down,False,0.349,0.502,Looking Left
80,4.796,True,573,309,695,289,0.3762,False,1,-20.369363055539807,21.304900017947055,174.22401360063304,Left,Down,False,0.328,0.528,Looking Left
81,4.856,True,576,312,698,291,0.3689,False,1,-20.067273250199108,20.39072524685568,174.5415229983288,Left,Down,False,0.314,0.544,Looking Left
82,4.916,True,582,312,712,292,0.3228,False,1,-19.004070131186793,17.32210386250104,175.77600605703356,Left,Down,False,0.365,0.506,Looking Left
83,4.976,True,588,311,721,292,0.3051,False,1,-17.893439973938214,18.011997059411755,175.7188887171537,Left,Down,False,0.426,0.454,Looking Left
84,5.036,True,599,309,735,292,0.2667,False,1,-15.733054041796668,15.334130388548399,176.92663118049686,Left,Down,False,0.485,0.554,Looking Left
85,5.096,True,605,307,745,291,0.2705,False,1,-13.586218486189415,15.138491915761064,177.20405858353678,Center,Down,False,0.479,0.528,Looking Down
86,5.156,True,612,320,742,304,0.0815,True,2,-11.30560395188713,22.175864689767707,176.0436373572694,Closed,Closed,False,0.433,0.784,Eyes Closed
87,5.216,True,618,319,755,304,0.1245,False,2,-9.486244902912317,19.66561896840922,176.40141495052782,Closed,Closed,False,0.448,0.683,Eyes Closed
88,5.276,True,629,308,772,297,0.2082,False,2,-8.278130125629914,10.39141444581705,177.69935611313537,Center,Down,False,0.509,0.673,Looking Down
89,5.336,True,632,304,780,292,0.256,False,2,-7.746747926309195,10.127802716629652,177.73979220380053,Center,Center,True,0.489,0.527,Focused
90,5.396,True,638,300,785,291,0.2631,False,2,-7.121036103295909,7.217976793135847,178.5715125823543,Center,Center,True,0.475,0.492,Focused
91,5.456,True,642,300,788,292,0.2943,False,2,-6.71931013938721,6.7947953893377075,179.1225674789457,Center,Center,True,0.483,0.485,Focused
92,5.516,True,645,301,792,294,0.2836,False,2,-6.720425475307933,5.501781704548284,179.56665999102765,Center,Center,True,0.48,0.473,Focused
93,5.576,True,647,307,793,300,0.2711,False,2,-6.8131190993494535,7.392013982889203,179.47921343868603,Center,Center,True,0.472,0.54,Focused
94,5.636,True,649,310,795,303,0.265,False,2,-6.307566420679233,4.266456083688326,179.75638927911115,Center,Center,True,0.477,0.575,Focused
